Patient,SLC6A4,SFTPC,ITLN2,SERTM1,CLDN18,LGI3,AGER,CD300LG,ANKRD1,FABP4,CST1,FAM83A,COL11A1,PPP1R14D,ABCA12,LOC84740,PRAME,SPINK1,CA9,MMP13,status
TCGA-55-8203,0.4044,581.5388,3.6397,1.2132,184.8145,2.022,374.8863,3.2353,4.0441,15.3675,572.6418,4268.5269,945.506,451.3194,544.7376,76.6798,2.8309,8120.918,1411.6389,840.3599,1
TCGA-55-8204,1.073,19.8498,0,0,3.2189,1.6094,35.4077,6.9742,17.1674,56.867,3584.7639,4454.3991,638.412,5.3648,177.5751,34.4635,1.6094,4.8283,1095.8959,5436.1588,1
TCGA-55-8206,104.2528,72950.0886,15.6527,9.4507,1113.1128,116.9522,2854.1051,17.1294,42.2327,55.8181,1.4767,93.9161,2.0673,4.43,0.886,3453.4052,22.15,182.2209,16.834,0.2953,1
TCGA-55-8207,5.4486,197.9659,0,2.9059,3.2692,2.5427,175.0817,5.0854,4.7221,92.9895,51.9433,620.4141,1070.8318,3.2692,18.8885,373.3709,1.0897,289.1391,26.6655,13568.4708,1
TCGA-55-8208,4.1258,10428.5714,5.673,4.1258,632.8004,57.7617,1281.5884,4.1258,34.5539,67.0449,483.2388,1044.3528,1579.1645,47.4471,359.4636,838.9428,811.2429,7778.2362,44.3579,84.5797,1
TCGA-55-8299,3.3789,983.6872,6.7578,2.1118,565.5462,9.292,2278.6572,8.0249,116.5726,54.485,61.6652,5003.7538,1800.5404,17.3169,200.2008,1244.0961,6.3355,91.6531,208.8255,66.7336,1
TCGA-55-8301,0.8602,658.0645,0.4301,10.3226,1045.1613,4.7312,317.4194,0.8602,46.8817,4.3011,204.3011,1301.9355,2641.2903,327.7419,15.0538,5200.671,886.4516,21.0753,5060.1849,419.7849,1
TCGA-55-8302,2.2151,8750.9345,12.7371,2.7689,738.1974,35.4423,882.1819,2.2151,5.5379,21.0439,51.5021,5928.8384,213.7616,188.8412,236.4668,5367.9302,822.9268,96.9126,540.7061,205.4548,1
TCGA-55-8507,47.619,40831.1688,42.2078,9.1991,1899.3506,262.987,2946.4286,2.7056,9.1991,445.3463,0,2958.8745,351.7316,100.6494,273.8095,1303.8799,204.5455,799.2424,234.6645,64.3939,1
TCGA-55-8510,74.0514,40597.3072,82.0073,23.2558,1175.0306,143.2069,3545.2876,11.0159,110.1591,166.4627,201.3464,882.4969,1225.8262,12.2399,212.9743,1404.1493,758.8739,212.3623,14.1126,338.4333,1
TCGA-55-8511,2.1718,2781.0506,1.0859,0.543,46.6947,8.6874,249.2195,0,3.2578,11.9452,2.7148,18081.1728,2585.0414,24.9762,955.6129,2365.6631,87.4169,361.6126,0.543,2923.3066,1
TCGA-55-8514,12.9032,9400,11.6129,1.2903,299.3548,20.6452,941.2903,3.871,21.9355,89.6774,23.2258,1503.2258,59.3548,177.4194,5.8065,111.8645,0.6452,7.7419,1455.7548,16.129,1
TCGA-55-8614,2.5145,489.7061,0.6286,0,151.5009,2.5145,467.0753,0,81.7225,24.5167,1670.9099,477.7621,1173.6602,1.8859,42.7471,3.7907,487.8202,145.2145,180.2609,18430.9288,1
TCGA-55-8616,0.5252,978.4664,0.5252,0,8.4034,1.5756,350.8403,18.3824,4.7269,35.7143,338.7605,4483.7185,249.4748,388.6555,35.7143,2118.6765,14.7059,1452.2059,2.4002,98.2143,1
TCGA-55-8621,745.1453,292528.7264,299.4509,116.2448,9359.5822,1208.5175,22668.2737,153.7431,546.9399,1487.0765,376.5903,1557.2519,819.0706,189.0987,24.1061,803.5088,69.1041,671.7557,401.8749,51.962,1
TCGA-55-A491,5.2938,11.117,0,3.7057,22.7634,5.2938,35.9979,0,5.2938,6.3526,302.2763,1641.6093,794.6003,1370.5664,44.468,568.9836,2893.5945,14189.5183,82.0434,20.6458,1
